News Organization,Article Title,URL,Keyword,Controversial Flag
Fox News,UK's first radar satellite set for launch,http://www.bbc.co.uk/news/science-environment-45523677,airbus,0
Fox News,UK's first radar satellite set for launch,http://www.bbc.co.uk/news/science-environment-45523677,activity,0
Fox News,UK's first radar satellite set for launch,http://www.bbc.co.uk/news/science-environment-45523677,track,0
Fox News,UK's first radar satellite set for launch,http://www.bbc.co.uk/news/science-environment-45523677,uk,0
Fox News,UK's first radar satellite set for launch,http://www.bbc.co.uk/news/science-environment-45523677,caption,0
Fox News,UK's first radar satellite set for launch,http://www.bbc.co.uk/news/science-environment-45523677,illegal,0
Fox News,UK's first radar satellite set for launch,http://www.bbc.co.uk/news/science-environment-45523677,technology,0
Fox News,UK's first radar satellite set for launch,http://www.bbc.co.uk/news/science-environment-45523677,spacecraft,0
Fox News,UK's first radar satellite set for launch,http://www.bbc.co.uk/news/science-environment-45523677,novasar,0
Fox News,UK's first radar satellite set for launch,http://www.bbc.co.uk/news/science-environment-45523677,indian,0
Fox News,UK's first radar satellite set for launch,http://www.bbc.co.uk/news/science-environment-45523677,radar,0
Fox News,UK's first radar satellite set for launch,http://www.bbc.co.uk/news/science-environment-45523677,monitoring,0
Fox News,UK's first radar satellite set for launch,http://www.bbc.co.uk/news/science-environment-45523677,shipping,0
Fox News,UK's first radar satellite set for launch,http://www.bbc.co.uk/news/science-environment-45523677,satellite,0
Fox News,UK's first radar satellite set for launch,http://www.bbc.co.uk/news/science-environment-45523677,image,0
Fox News,Philippines counts cost of deadly typhoon,http://www.bbc.co.uk/news/world-asia-45537918,told,0
Fox News,Philippines counts cost of deadly typhoon,http://www.bbc.co.uk/news/world-asia-45537918,cost,0
Fox News,Philippines counts cost of deadly typhoon,http://www.bbc.co.uk/news/world-asia-45537918,island,0
Fox News,Philippines counts cost of deadly typhoon,http://www.bbc.co.uk/news/world-asia-45537918,damage,0
Fox News,Philippines counts cost of deadly typhoon,http://www.bbc.co.uk/news/world-asia-45537918,philippines,0
Fox News,Philippines counts cost of deadly typhoon,http://www.bbc.co.uk/news/world-asia-45537918,copyright,0
Fox News,Philippines counts cost of deadly typhoon,http://www.bbc.co.uk/news/world-asia-45537918,caption,0
Fox News,Philippines counts cost of deadly typhoon,http://www.bbc.co.uk/news/world-asia-45537918,typhoon,0
Fox News,Philippines counts cost of deadly typhoon,http://www.bbc.co.uk/news/world-asia-45537918,super,0
Fox News,Philippines counts cost of deadly typhoon,http://www.bbc.co.uk/news/world-asia-45537918,residents,0
Fox News,Philippines counts cost of deadly typhoon,http://www.bbc.co.uk/news/world-asia-45537918,storm,0
Fox News,Philippines counts cost of deadly typhoon,http://www.bbc.co.uk/news/world-asia-45537918,deadly,0
Fox News,Philippines counts cost of deadly typhoon,http://www.bbc.co.uk/news/world-asia-45537918,image,0
Fox News,Philippines counts cost of deadly typhoon,http://www.bbc.co.uk/news/world-asia-45537918,counts,0
Fox News,Taco Bell worker turns away English speaker,http://www.bbc.co.uk/news/world-us-canada-45535948,refusing,1
Fox News,Taco Bell worker turns away English speaker,http://www.bbc.co.uk/news/world-us-canada-45535948,spanish,1
Fox News,Taco Bell worker turns away English speaker,http://www.bbc.co.uk/news/world-us-canada-45535948,fired,1
Fox News,Taco Bell worker turns away English speaker,http://www.bbc.co.uk/news/world-us-canada-45535948,spanishspeaking,1
Fox News,Taco Bell worker turns away English speaker,http://www.bbc.co.uk/news/world-us-canada-45535948,manager,1
Fox News,Taco Bell worker turns away English speaker,http://www.bbc.co.uk/news/world-us-canada-45535948,taco,1
Fox News,Taco Bell worker turns away English speaker,http://www.bbc.co.uk/news/world-us-canada-45535948,bell,1
Fox News,Taco Bell worker turns away English speaker,http://www.bbc.co.uk/news/world-us-canada-45535948,video,1
Fox News,Taco Bell worker turns away English speaker,http://www.bbc.co.uk/news/world-us-canada-45535948,woman,1
Fox News,Taco Bell worker turns away English speaker,http://www.bbc.co.uk/news/world-us-canada-45535948,worker,1
Fox News,Taco Bell worker turns away English speaker,http://www.bbc.co.uk/news/world-us-canada-45535948,montgomery,1
Fox News,Taco Bell worker turns away English speaker,http://www.bbc.co.uk/news/world-us-canada-45535948,englishspeaker,1
Fox News,Nasa laser launches into space,http://www.bbc.co.uk/news/science-environment-45536237,space,0
Fox News,Nasa laser launches into space,http://www.bbc.co.uk/news/science-environment-45536237,ice,0
Fox News,Nasa laser launches into space,http://www.bbc.co.uk/news/science-environment-45536237,nasa,0
Fox News,Nasa laser launches into space,http://www.bbc.co.uk/news/science-environment-45536237,provide,0
Fox News,Nasa laser launches into space,http://www.bbc.co.uk/news/science-environment-45536237,mission,0
Fox News,Nasa laser launches into space,http://www.bbc.co.uk/news/science-environment-45536237,laser,0
Fox News,Nasa laser launches into space,http://www.bbc.co.uk/news/science-environment-45536237,launches,0
Fox News,Nasa laser launches into space,http://www.bbc.co.uk/news/science-environment-45536237,measure,0
Fox News,Nasa laser launches into space,http://www.bbc.co.uk/news/science-environment-45536237,levels,0
Fox News,Nasa laser launches into space,http://www.bbc.co.uk/news/science-environment-45536237,orbits,0
Fox News,Nasa laser launches into space,http://www.bbc.co.uk/news/science-environment-45536237,planet,0
Fox News,Coast guard removed for 'white power sign',http://www.bbc.co.uk/news/world-us-canada-45535715,symbol,1
Fox News,Coast guard removed for 'white power sign',http://www.bbc.co.uk/news/world-us-canada-45535715,making,1
Fox News,Coast guard removed for 'white power sign',http://www.bbc.co.uk/news/world-us-canada-45535715,tweeted,1
Fox News,Coast guard removed for 'white power sign',http://www.bbc.co.uk/news/world-us-canada-45535715,hand,1
Fox News,Coast guard removed for 'white power sign',http://www.bbc.co.uk/news/world-us-canada-45535715,white,1
